moment:  value
[]:  1.0
[1, 4]:  -0.6071972885826854
[1, 4, 7, 10]:  0.7141050431052273
[1, 4, 8, 11]:  0.4905291292659697
[1, 4, 8, 29]:  0.2887619329816117
[1, 4, 10, 13]:  0.3809209772831165
[1, 4, 11, 14]:  0.19105829894918572
[1, 4, 13, 16]:  0.583265619926742
[1, 4, 14, 17]:  0.41161629033737585
[1, 4, 16, 19]:  0.3997262171555321
[1, 4, 17, 20]:  0.23388630969090946
[1, 5, 7, 11]:  -0.06502573640772506
[1, 5, 10, 14]:  0.07982300094611725
[1, 5, 11, 13]:  0.110362772248415
[1, 5, 13, 17]:  0.019525262740438303
[1, 5, 14, 16]:  0.1525871688578762
[1, 5, 16, 20]:  0.08212441824081826
[1, 5, 17, 19]:  0.08421864827254626
[1, 7]:  0.28515948851967665
[1, 10]:  -0.2913634119814824
[1, 13]:  0.24884723777986895
[1, 16]:  -0.270891053878319
