moment:  value
[1, 4, 7, 11, 13, 24, 27, 29]:  -0.08086767171063397
[1, 4, 7, 11, 13, 26]:  -0.0446475551818962
[1, 4, 7, 11, 13, 29]:  0.09006525314511611
[1, 4, 7, 11, 14, 16]:  -0.23189371283025215
[1, 4, 7, 11, 14, 16, 19, 22]:  0.3165066382445564
[1, 4, 7, 11, 14, 16, 20, 23]:  0.21267295123304236
[1, 4, 7, 11, 14, 16, 20, 29]:  0.09461163687658715
[1, 4, 7, 11, 14, 16, 21, 24]:  0.20382330081285635
[1, 4, 7, 11, 14, 16, 21, 30]:  0.07877062555972034
[1, 4, 7, 11, 14, 16, 26, 29]:  0.2096508917547849
[1, 4, 7, 11, 14, 16, 27, 30]:  0.20654225973433696
[1, 4, 7, 11, 14, 17, 19, 29]:  -0.09519974030763853
[1, 4, 7, 11, 14, 17, 25, 29]:  -0.12532171044929985
[1, 4, 7, 11, 14, 18, 19, 24]:  -0.09457833645331895
[1, 4, 7, 11, 14, 18, 19, 30]:  -0.05772893643991796
[1, 4, 7, 11, 14, 18, 21, 22]:  0.20679173748168164
[1, 4, 7, 11, 14, 18, 25, 30]:  -0.07975347466051763
[1, 4, 7, 11, 14, 19]:  0.1249000913565081
[1, 4, 7, 11, 14, 22, 26, 29]:  0.20965089174365908
[1, 4, 7, 11, 14, 22, 27, 30]:  0.2065422597275951
[1, 4, 7, 11, 14, 23, 25, 29]:  -0.1344453695274511
[1, 4, 7, 11, 14, 24, 25, 30]:  -0.12525773882092564
[1, 4, 7, 11, 14, 25]:  0.166551651921319
[1, 4, 7, 11, 15, 16, 20, 24]:  -0.013621216801548494
[1, 4, 7, 11, 15, 16, 20, 30]:  -0.011506316521583232
[1, 4, 7, 11, 15, 16, 21, 23]:  0.02247081296145454
[1, 4, 7, 11, 15, 16, 21, 29]:  0.027347248158318856
[1, 4, 7, 11, 15, 16, 26, 30]:  -0.010422406498707645
[1, 4, 7, 11, 15, 16, 27, 29]:  0.0135310653151011
[1, 4, 7, 11, 15, 17, 19, 24]:  0.026359008379484804
[1, 4, 7, 11, 15, 17, 19, 30]:  0.02139724032420435
[1, 4, 7, 11, 15, 17, 21, 22]:  -0.05215915481575038
[1, 4, 7, 11, 15, 17, 25, 30]:  0.03529941894076565
[1, 4, 7, 11, 15, 18, 19, 23]:  -0.05710234032772259
[1, 4, 7, 11, 15, 18, 19, 29]:  -0.05886803135929604
[1, 4, 7, 11, 15, 18, 20, 22]:  0.07927331041225903
[1, 4, 7, 11, 15, 18, 25, 29]:  -0.08086767170865163
[1, 4, 7, 11, 15, 22, 26, 30]:  -0.010422406504226881
[1, 4, 7, 11, 15, 22, 27, 29]:  0.013531065315035272
[1, 4, 7, 11, 15, 23, 25, 30]:  0.01874577449352781
[1, 4, 7, 11, 15, 24, 25, 29]:  -0.027933505813136934
[1, 4, 7, 11, 16, 19, 22, 26]:  -0.018238759457870818
[1, 4, 7, 11, 16, 19, 23, 25]:  0.02078353741568383
[1, 4, 7, 11, 16, 20]:  0.023224924012010286
[1, 4, 7, 11, 16, 20, 22, 25]:  -0.018228554297268378
[1, 4, 7, 11, 16, 20, 23, 26]:  -0.018904027476569222
[1, 4, 7, 11, 16, 20, 24, 27]:  -0.011219886931252457
[1, 4, 7, 11, 16, 21, 23, 27]:  0.0014984428909737097
[1, 4, 7, 11, 16, 21, 24, 26]:  -0.009182611829935823
[1, 4, 7, 11, 16, 23]:  -0.02534569131588798
[1, 4, 7, 11, 16, 29]:  -0.034643682528594316
[1, 4, 7, 11, 17, 19]:  -0.04085738150334091
[1, 4, 7, 11, 17, 19, 22, 25]:  0.04814530258726654
[1, 4, 7, 11, 17, 19, 23, 26]:  0.025685879840058663
[1, 4, 7, 11, 17, 19, 24, 27]:  0.022837956533140927
[1, 4, 7, 11, 17, 20, 22, 26]:  -0.018891759480570824
[1, 4, 7, 11, 17, 20, 23, 25]:  0.04460432380703413
[1, 4, 7, 11, 17, 21, 22, 27]:  -0.009771877162714337
[1, 4, 7, 11, 17, 21, 24, 25]:  0.035227504854597975
[1, 4, 7, 11, 17, 22]:  0.05639981022533978
[1, 4, 7, 11, 18, 19, 23, 27]:  0.0017886107320561272
[1, 4, 7, 11, 18, 19, 24, 26]:  0.0010593547565069389
[1, 4, 7, 11, 18, 20, 22, 27]:  0.0012255429619321158
[1, 4, 7, 11, 18, 20, 24, 25]:  -0.008879853932802126
[1, 4, 7, 11, 18, 21, 22, 26]:  -0.010345453049178499
[1, 4, 7, 11, 18, 21, 23, 25]:  0.018256685139991704
[1, 4, 7, 11, 19, 23]:  0.05746222036588324
[1, 4, 7, 11, 19, 23, 27, 30]:  -0.057728936428343716
[1, 4, 7, 11, 19, 24, 26, 30]:  0.021397240314695785
[1, 4, 7, 11, 19, 24, 27, 29]:  -0.05886803136179899
[1, 4, 7, 11, 19, 26]:  -0.02351505191098818
[1, 4, 7, 11, 20, 22]:  -0.0799498264181242
[1, 4, 7, 11, 20, 22, 26, 29]:  0.09461163686438316
[1, 4, 7, 11, 20, 22, 27, 30]:  0.07877062555616927
[1, 4, 7, 11, 20, 23, 25, 29]:  -0.10773961923357059
[1, 4, 7, 11, 20, 24, 25, 30]:  -0.048337924862841164
[1, 4, 7, 11, 20, 25]:  0.05311532429109954
[1, 4, 7, 11, 21, 22, 26, 30]:  -0.011506316522362997
[1, 4, 7, 11, 21, 22, 27, 29]:  0.027347248154847344
[1, 4, 7, 11, 21, 23, 25, 30]:  0.02208656901565638
[1, 4, 7, 11, 21, 24, 25, 29]:  -0.08148818444884397
[1, 4, 7, 11, 22, 26]:  0.020029459165363018
[1, 4, 7, 11, 22, 29]:  -0.03464368253079989
[1, 4, 7, 11, 23, 25]:  -0.03457728351522146
[1, 4, 7, 11, 25, 29]:  0.09006525314640972
[1, 4, 7, 13]:  -0.21695335062094975
[1, 4, 7, 13, 16, 19]:  0.17860944999907744
[1, 4, 7, 13, 16, 20, 22, 29]:  -0.01822855430072697
[1, 4, 7, 13, 17, 19, 22, 29]:  0.02078353741885235
[1, 4, 7, 13, 17, 20]:  0.12472768016690239
[1, 4, 7, 13, 17, 20, 23, 29]:  0.04460432380475839
[1, 4, 7, 13, 17, 20, 24, 30]:  0.03522750485418715
[1, 4, 7, 13, 17, 21, 23, 30]:  -0.008879853943054112
[1, 4, 7, 13, 17, 21, 24, 29]:  0.018256685156447437
[1, 4, 7, 13, 17, 29]:  -0.034577283516210096
[1, 4, 7, 13, 20, 29]:  0.053115324285281096
[1, 4, 7, 13, 26, 29]:  0.1665516519188773
[1, 4, 7, 14, 16, 19, 22, 29]:  -0.018238759438007582
[1, 4, 7, 14, 16, 20]:  -0.04097248798335415
[1, 4, 7, 14, 16, 20, 23, 29]:  -0.018891759487378642
[1, 4, 7, 14, 16, 20, 24, 30]:  -0.009771877152834623
[1, 4, 7, 14, 16, 21, 23, 30]:  0.0012255429571457683
[1, 4, 7, 14, 16, 21, 24, 29]:  -0.010345453052754314
[1, 4, 7, 14, 16, 29]:  0.02002945916431545
[1, 4, 7, 14, 17, 19]:  0.09459753030800373
[1, 4, 7, 14, 17, 19, 23, 29]:  0.025685879842634957
[1, 4, 7, 14, 17, 19, 24, 30]:  0.022837956521195326
[1, 4, 7, 14, 17, 21, 22, 30]:  -0.011219886934066753
[1, 4, 7, 14, 18, 19, 23, 30]:  0.001788610734458342
[1, 4, 7, 14, 18, 19, 24, 29]:  0.0010593547612759765
[1, 4, 7, 14, 18, 20, 22, 30]:  0.0014984428963366093
[1, 4, 7, 14, 18, 21, 22, 29]:  -0.009182611823834185
[1, 4, 7, 14, 19, 29]:  -0.02351505190164283
[1, 4, 7, 14, 25, 29]:  -0.044647555179476765
[1, 4, 7, 16]:  0.2504696632170582
[1, 4, 7, 16, 19, 22]:  -0.32006741257166155
[1, 4, 7, 16, 19, 23, 25, 29]:  -0.15447341903891368
[1, 4, 7, 16, 20, 22, 25, 29]:  0.1074806992320248
[1, 4, 7, 16, 20, 23]:  -0.20777648612018268
[1, 4, 7, 16, 20, 23, 27, 30]:  0.20679173747764004
[1, 4, 7, 16, 20, 24, 26, 30]:  -0.05215915482133008
[1, 4, 7, 16, 20, 24, 27, 29]:  0.0792733104090595
[1, 4, 7, 16, 20, 29]:  -0.0799498264168666
[1, 4, 7, 16, 23, 29]:  0.056399810221706856
[1, 4, 7, 17, 19, 23]:  0.0958573840484698
[1, 4, 7, 17, 19, 23, 27, 30]:  -0.09457833645150754
[1, 4, 7, 17, 19, 24, 26, 30]:  0.02635900837889387
[1, 4, 7, 17, 19, 24, 27, 29]:  -0.05710234031819866
[1, 4, 7, 17, 19, 29]:  0.05746222036430158
[1, 4, 7, 17, 20, 22]:  -0.20777648612433167
[1, 4, 7, 17, 20, 22, 26, 29]:  0.21267295123870858
[1, 4, 7, 17, 20, 22, 27, 30]:  0.2038233008096087
[1, 4, 7, 17, 20, 24, 25, 30]:  -0.1280830437215656
[1, 4, 7, 17, 21, 22, 26, 30]:  -0.01362121679734981
[1, 4, 7, 17, 21, 22, 27, 29]:  0.022470812949899235
[1, 4, 7, 17, 21, 23, 25, 30]:  0.04144985044826814
[1, 4, 7, 17, 21, 24, 25, 29]:  -0.07837744605469123
[1, 4, 7, 17, 22, 29]:  -0.025345691312198954
[1, 4, 7, 19]:  -0.1784528402281217
[1, 4, 7, 19, 23, 26]:  0.09459753030830258
[1, 4, 7, 19, 23, 29]:  -0.040857381501456604
[1, 4, 7, 19, 26, 29]:  0.12490009135240114
[1, 4, 7, 20, 22, 26]:  -0.0409724879820833
[1, 4, 7, 20, 22, 29]:  0.023224924012469728
[1, 4, 7, 20, 23, 25]:  0.12472768016627198
[1, 4, 7, 20, 25, 29]:  -0.05211610649382056
[1, 4, 7, 22]:  0.2504696632183039
[1, 4, 7, 22, 26, 29]:  -0.23189371283091997
[1, 4, 7, 23, 25, 29]:  0.14297829923508942
[1, 4, 7, 25]:  -0.2169533506215689
[1, 4, 8, 10, 13, 17]:  -0.17102723862513655
[1, 4, 8, 10, 13, 17, 19, 22]:  0.1645475249944321
[1, 4, 8, 10, 13, 17, 20, 29]:  0.176239102830587
[1, 4, 8, 10, 13, 17, 21, 24]:  0.15139472203386847
[1, 4, 8, 10, 13, 17, 21, 30]:  0.05881601210231564
[1, 4, 8, 10, 13, 17, 26, 29]:  0.17623910283621666
[1, 4, 8, 10, 13, 17, 27, 30]:  0.15473420970625865
[1, 4, 8, 10, 13, 18, 20, 24]:  -0.06296264349144598
[1, 4, 8, 10, 13, 18, 20, 30]:  -0.037311458059980346
[1, 4, 8, 10, 13, 18, 21, 23]:  0.12424087881521167
[1, 4, 8, 10, 13, 18, 21, 29]:  0.15473420970255408
[1, 4, 8, 10, 13, 18, 26, 30]:  -0.037311458057820476
[1, 4, 8, 10, 13, 18, 27, 29]:  0.058816012111761996
[1, 4, 8, 10, 13, 20]:  0.08100033312431451
[1, 4, 8, 10, 13, 23, 27, 30]:  0.12424087881722858
[1, 4, 8, 10, 13, 24, 26, 30]:  -0.06296264349936194
[1, 4, 8, 10, 13, 24, 27, 29]:  0.15139472203069373
[1, 4, 8, 10, 13, 26]:  0.08100033312937198
[1, 4, 8, 10, 13, 29]:  -0.1710272386247587
[1, 4, 8, 10, 14, 16]:  0.1245243395870325
[1, 4, 8, 10, 14, 16, 20, 23]:  -0.125793299846226
[1, 4, 8, 10, 14, 16, 20, 29]:  -0.07361894488359073
[1, 4, 8, 10, 14, 16, 21, 24]:  -0.11124365890547817
[1, 4, 8, 10, 14, 16, 21, 30]:  -0.042649208508667345
[1, 4, 8, 10, 14, 16, 26, 29]:  -0.11740614624213232
[1, 4, 8, 10, 14, 16, 27, 30]:  -0.10903883776596242
[1, 4, 8, 10, 14, 17, 19, 23]:  0.0807374888280981
[1, 4, 8, 10, 14, 17, 19, 29]:  0.07886725344457227
[1, 4, 8, 10, 14, 17, 25, 29]:  0.08073748883084843
[1, 4, 8, 10, 14, 18, 19, 24]:  0.03992052235390618
[1, 4, 8, 10, 14, 18, 19, 30]:  0.022357822005766286
[1, 4, 8, 10, 14, 18, 21, 22]:  -0.08256015758500024
[1, 4, 8, 10, 14, 18, 25, 30]:  0.024851210702274053
[1, 4, 8, 10, 14, 19]:  -0.05063158884219584
[1, 4, 8, 10, 14, 22, 26, 29]:  -0.08892643733550747
[1, 4, 8, 10, 14, 22, 27, 30]:  -0.08374300632231929
[1, 4, 8, 10, 14, 23, 25, 29]:  0.057794712078062624
[1, 4, 8, 10, 14, 24, 25, 30]:  0.0449541114678318
[1, 4, 8, 10, 14, 25]:  -0.05698648056030012
[1, 4, 8, 10, 15, 16, 20, 24]:  0.01650186211164369
[1, 4, 8, 10, 15, 16, 20, 30]:  0.01320556831853583
[1, 4, 8, 10, 15, 16, 21, 23]:  -0.03105153775173004
[1, 4, 8, 10, 15, 16, 21, 29]:  -0.04417515857267454
[1, 4, 8, 10, 15, 16, 26, 30]:  0.015937216963036495
[1, 4, 8, 10, 15, 16, 27, 29]:  -0.024304553207506227
[1, 4, 8, 10, 15, 17, 19, 24]:  -0.011891357406506176
[1, 4, 8, 10, 15, 17, 19, 30]:  -0.009838744180088647
[1, 4, 8, 10, 15, 17, 21, 22]:  0.022668839920905445
[1, 4, 8, 10, 15, 17, 25, 30]:  -0.011472917845431634
[1, 4, 8, 10, 15, 18, 19, 23]:  0.05270836968834677
[1, 4, 8, 10, 15, 18, 19, 29]:  0.06634822998610283
[1, 4, 8, 10, 15, 18, 20, 22]:  -0.04784831699784739
[1, 4, 8, 10, 15, 18, 25, 29]:  0.06735925882674793
[1, 4, 8, 10, 15, 22, 26, 30]:  0.009510332000171385
[1, 4, 8, 10, 15, 22, 27, 29]:  -0.014693833982742195
[1, 4, 8, 10, 15, 23, 25, 30]:  -0.009798624184868172
[1, 4, 8, 10, 15, 24, 25, 29]:  0.022639275231881528
[1, 4, 8, 10, 16, 19, 23, 25]:  -0.017749442939376973
[1, 4, 8, 10, 16, 20]:  -0.025410276901865085
[1, 4, 8, 10, 16, 20, 22, 25]:  0.020445501988394916
[1, 4, 8, 10, 16, 20, 24, 27]:  0.01534538749539393
[1, 4, 8, 10, 16, 21, 23, 27]:  -0.005809427392871939
[1, 4, 8, 10, 16, 21, 24, 26]:  0.01614989861123104
[1, 4, 8, 10, 16, 23]:  0.03104447488114383
[1, 4, 8, 10, 16, 29]:  0.05206064646038411
[1, 4, 8, 10, 17, 19]:  0.019438864446976154
[1, 4, 8, 10, 17, 19, 23, 26]:  -0.012245637005465049
[1, 4, 8, 10, 17, 19, 24, 27]:  -0.008902551496154128
[1, 4, 8, 10, 17, 20, 22, 26]:  0.010735431919607316
[1, 4, 8, 10, 17, 21, 22, 27]:  0.0020530843177275545
[1, 4, 8, 10, 17, 21, 24, 25]:  -0.012024679049425837
[1, 4, 8, 10, 17, 22]:  -0.025759388472073687
[1, 4, 8, 10, 18, 19, 23, 27]:  -0.001410489653766932
[1, 4, 8, 10, 18, 19, 24, 26]:  -0.0019325676390391838
[1, 4, 8, 10, 18, 20, 22, 27]:  0.0013560009320616223
[1, 4, 8, 10, 18, 20, 24, 25]:  0.004598809434399581
[1, 4, 8, 10, 18, 21, 22, 26]:  0.0073263295331441125
[1, 4, 8, 10, 18, 21, 23, 25]:  -0.011465873109538411
[1, 4, 8, 10, 19, 23]:  -0.051625877278951474
[1, 4, 8, 10, 19, 23, 27, 30]:  0.05074391029584448
[1, 4, 8, 10, 19, 24, 26, 30]:  -0.02397438314427074
[1, 4, 8, 10, 19, 24, 27, 29]:  0.06784213779704955
[1, 4, 8, 10, 19, 26]:  0.027523747173570912
[1, 4, 8, 10, 20, 22]:  0.0487096666635512
[1, 4, 8, 10, 20, 22, 26, 29]:  -0.067503043578325
[1, 4, 8, 10, 20, 22, 27, 30]:  -0.04993671268553694
[1, 4, 8, 10, 20, 24, 25, 30]:  0.024851210692760178
[1, 4, 8, 10, 20, 25]:  -0.024164986483227086
[1, 4, 8, 10, 21, 22, 26, 30]:  0.010532960535215833
[1, 4, 8, 10, 21, 22, 27, 29]:  -0.028099373086947918
[1, 4, 8, 10, 21, 23, 25, 30]:  -0.011472917857473472
[1, 4, 8, 10, 21, 24, 25, 29]:  0.06735925882157309
[1, 4, 8, 10, 22, 26]:  -0.01728870703990859
[1, 4, 8, 10, 22, 29]:  0.03471857252970742
[1, 4, 8, 10, 23, 25]:  0.01808486986756336
[1, 4, 8, 10, 25, 29]:  -0.07331004034394398
[1, 4, 8, 11]:  0.4655235614464653
[1, 4, 8, 11, 13, 16]:  -0.3953372279342221
[1, 4, 8, 11, 13, 16, 20, 23]:  0.35275046760712503
[1, 4, 8, 11, 13, 16, 20, 29]:  0.17286484845875713
[1, 4, 8, 11, 13, 16, 21, 24]:  0.343558886551538
[1, 4, 8, 11, 13, 16, 21, 30]:  0.15132338943540463
[1, 4, 8, 11, 13, 16, 27, 30]:  0.343558886540086
[1, 4, 8, 11, 13, 18, 19, 24]:  -0.1044970208631749
[1, 4, 8, 11, 13, 18, 19, 30]:  -0.06569130842042237
[1, 4, 8, 11, 13, 18, 21, 22]:  0.16965323703076451
[1, 4, 8, 11, 13, 18, 25, 30]:  -0.049936712695607136
[1, 4, 8, 11, 13, 19]:  0.13774232768966618
[1, 4, 8, 11, 13, 22, 27, 30]:  0.16978439759636024
[1, 4, 8, 11, 13, 23, 25, 29]:  -0.08892643734654256
[1, 4, 8, 11, 13, 24, 25, 30]:  -0.08374300632987386
[1, 4, 8, 11, 13, 25]:  0.10596429414783012
[1, 4, 8, 11, 15, 16, 19, 24]:  0.15088013726058128
[1, 4, 8, 11, 15, 16, 19, 30]:  0.12162950171393545
